Date,market_rets
2008-03-31,-0.015568844344175492
2008-04-30,0.07968414408522495
2008-05-31,0.008638189857048006
2008-06-30,-0.07987334198044371
2008-07-31,-0.03156623384085999
2008-08-31,-0.01671520935602122
2008-09-30,-0.12260956857980088
2008-10-31,-0.18406381341871803
2008-11-30,-0.08756316568643752
2008-12-31,0.054651642730300765
2009-01-31,-0.1138185476360506
2009-02-28,-0.0971109016957975
2009-03-31,0.09213573148664289
2009-04-30,0.12777950306447505
2009-05-31,0.10485163214451476
2009-06-30,-0.015177411957707054
2009-07-31,0.09422993473016694
2009-08-31,0.02967707776377404
2009-09-30,0.048636105812080555
2009-10-31,-0.026993831338075203
2009-11-30,0.053972136826629935
2009-12-31,0.018739775312228257
2010-01-31,-0.052967235642201294
2010-02-28,0.021722555096804763
2010-03-31,0.06329404923915027
2010-04-30,-0.0022981606280358946
2010-05-31,-0.09375721483037047
2010-06-30,-0.03558192969156038
2010-07-31,0.0933512881984806
2010-08-31,-0.042811939605036486
2010-09-30,0.09809380080979158
2010-10-31,0.03749146641324308
2010-11-30,-0.021860064536320167
2010-12-31,0.0779212045662323
2011-01-31,0.010681649318397435
2011-02-28,0.031071577589720567
2011-03-31,-0.008610095640460225
2011-04-30,0.048180245680255585
2011-05-31,-0.019530546306885332
2011-06-30,-0.017610296103486744
2011-07-31,-0.02279782054618873
2011-08-31,-0.07359496153501877
2011-09-30,-0.10439566881887508
2011-10-31,0.11324128561850078
2011-11-30,-0.011480970791009293
2011-12-31,-0.009502902061779728
2012-01-31,0.05477794570152339
2012-02-29,0.049460694518286275
2012-03-31,0.011139498002670223
2012-04-30,-0.011440535964868714
2012-05-31,-0.0927990725498532
2012-06-30,0.050722965131618336
2012-07-31,0.008205779233586341
2012-08-31,0.02780922196256097
2012-09-30,0.0270570133731709
2012-10-31,-0.005140465614348444
2012-11-30,0.015931073616952895
2012-12-31,0.029041296948272066
2013-01-31,0.037645636686298944
2013-02-28,-0.001002064707384176
2013-03-31,0.01825841191226596
2013-04-30,0.028374545481836044
2013-05-31,-0.0038322782365743935
2013-06-30,-0.026017317541217055
2013-07-31,0.04580030084195297
2013-08-31,-0.022949169630620325
2013-09-30,0.0553924012006386
2013-10-31,0.03950308839659478
2013-11-30,0.01552189878337229
2013-12-31,0.02069227257098749
2014-01-31,-0.04633804106325068
2014-02-28,0.0520472571715096
2014-03-31,0.005708165154703515
2014-04-30,0.011868171639711544
2014-05-31,0.020057709079315478
2014-06-30,0.01818211464066577
2014-07-31,-0.014437632740363027
2014-08-31,0.02576208825837245
2014-09-30,-0.03315792643449744
2014-10-31,0.012053954374449338
2014-11-30,0.013755977793607377
2014-12-31,-0.023576597101559238
2015-01-31,-0.013162380748006353
2015-02-28,0.055084020931209565
2015-03-31,-0.014611793960089714
2015-04-30,0.028657179955274836
2015-05-31,2.220446049250313e-16
2015-06-30,-0.025783311524656072
2015-07-31,0.008242069976329924
2015-08-31,-0.06806774964356588
2015-09-30,-0.03437195890305822
2015-10-31,0.07656658218940682
2015-11-30,-0.005338406351074632
2015-12-31,-0.02105763784127601
2016-01-31,-0.053027395891365736
2016-02-29,-0.012486000526319208
2016-03-31,0.07394647385648812
2016-04-30,0.01337834440061525
2016-05-31,0.003344523232368335
2016-06-30,-0.0004967671219461289
2016-07-31,0.03770224909593245
2016-08-31,0.0034275822697527047
2016-09-30,0.009393556340381748
2016-10-31,-0.01912004052845029
2016-11-30,0.010350230453181952
2016-12-31,0.019622789565403087
2017-01-31,0.029068863327375682
2017-02-28,0.025127388197016653
2017-03-31,0.01345718165852161
2017-04-30,0.016123692633023046
