Date,Yield
2000-01-03,0.00020382351559522505
2000-01-04,0.00020382351559522505
2000-01-05,0.00020382351559522505
2000-01-06,0.0002026922377451612
2000-01-07,0.0002019378800448557
2000-01-10,0.00020231508573820278
2000-01-11,0.00020382351559522505
2000-01-12,0.00020420054284620015
2000-01-13,0.0002019378800448557
2000-01-14,0.0002030693720416199
2000-01-18,0.00020231508573820278
2000-01-19,0.0002068386633926611
2000-01-20,0.00020495447237456332
2000-01-21,0.00020495447237456332
2000-01-24,0.00020608509029784727
2000-01-25,0.00020872198187849023
2000-01-26,0.000209098528016316
2000-01-27,0.000209098528016316
2000-01-28,0.0002113571117801083
2000-01-31,0.00021361443407275083
2000-02-01,0.00021436658479401238
2000-02-02,0.00021248593276390615
2000-02-03,0.00020985153151675817
2000-02-04,0.0002121096886507079
2000-02-07,0.0002113571117801083
2000-02-08,0.00021323829649921855
2000-02-09,0.0002121096886507079
2000-02-10,0.00021248593276390615
2000-02-11,0.0002117334269529092
2000-02-14,0.00021098077901271495
2000-02-15,0.0002154945357899507
2000-02-16,0.00021436658479401238
2000-02-17,0.00021511859357392638
2000-02-18,0.00021511859357392638
2000-02-22,0.00021624633176053898
2000-02-23,0.00021774949833419655
2000-02-24,0.00021774949833419655
2000-02-25,0.00021699798592411668
2000-02-28,0.00021850086904429133
2000-02-29,0.00021774949833419655
2000-03-01,0.00021624633176053898
2000-03-02,0.0002158704604666717
2000-03-03,0.00021737376880359705
2000-03-06,0.00021812521035546872
2000-03-07,0.00021812521035546872
2000-03-08,0.00021887651023400068
2000-03-09,0.00021850086904429133
2000-03-10,0.00021925209810813584
2000-03-13,0.00022037868518576254
2000-03-14,0.00022037868518576254
2000-03-15,0.0002196276684929277
2000-03-16,0.00022000318557902077
2000-03-17,0.00022000318557902077
2000-03-20,0.0002211295603657959
2000-03-21,0.00022150493595596288
2000-03-22,0.00022150493595596288
2000-03-23,0.0002211295603657959
2000-03-24,0.00022075413151045886
2000-03-27,0.00021925209810813584
2000-03-28,0.00022037868518576254
2000-03-29,0.00022075413151045886
2000-03-30,0.00022037868518576254
2000-03-31,0.00022075413151045886
2000-04-03,0.0002196276684929277
2000-04-04,0.00021887651023400068
2000-04-05,0.00022000318557902077
2000-04-06,0.00022037868518576254
2000-04-07,0.00022037868518576254
2000-04-10,0.0002196276684929277
2000-04-11,0.00021887651023400068
2000-04-12,0.00021887651023400068
2000-04-13,0.00021774949833419655
2000-04-14,0.00021774949833419655
2000-04-17,0.00021774949833419655
2000-04-18,0.00021774949833419655
2000-04-19,0.00021774949833419655
