Date,Return,Market Return,Risk Free,Market Excess,Fund Excess,Alpha,Cumulative Alpha
2013-03-15,0.008089999999999976,0.0029857304359899306,2.77680986426887e-06,0.0029829536261256617,0.008087223190135707,0.007285042021024721,0.007285042021024721
2013-03-18,-0.004156374926841854,-0.009345794392523366,2.77680986426887e-06,-0.009348571202387634,-0.004159151736706123,-0.0016451174215334728,0.0056399245994912485
2013-03-19,-0.0009562705448748823,-0.0029349763604996637,3.1733390453148047e-06,-0.0029381496995449785,-0.0009594438839201971,-0.00016931146605042233,0.005470613133440826
2013-03-20,0.0017448700819590473,0.005256517902533009,3.1733390453148047e-06,0.005253344563487694,0.0017416967429137325,0.0003289580242247581,0.0057995711576655845
2013-03-21,0.003234828653614434,-0.005298819910422248,3.1733390453148047e-06,-0.0053019932494675626,0.0032316553145691194,0.004657476724002345,0.01045704788166793
2013-03-22,-0.005188800920689615,0.003925210519317712,2.77680986426887e-06,0.003922433709453443,-0.005191577730553884,-0.006246405546598903,0.004210642335069027
2013-03-25,0.008606675908288498,-0.003909863482048914,2.3802412136841866e-06,-0.003912243723262598,0.008604295667074813,0.009656383173996618,0.013867025509065645
2013-03-26,-0.006268910554314046,0.004135434650583969,3.1733390453148047e-06,0.004132261311538654,-0.006272083893359361,-0.007383338919562215,0.00648368658950343
2013-03-27,0.001791044776119294,-0.0025826826992383367,2.3802412136841866e-06,-0.002585062940452021,0.0017886645349056097,0.0024838442365393374,0.008967530826042767
2013-03-28,0.007469209376241617,0.003989048271037854,1.5869854708139286e-06,0.00398746128556704,0.007467622390770803,0.006395307243855337,0.015362838069898105
2013-04-02,0.007423692720246112,0.005182089925814148,2.3802412136841866e-06,0.005179709684600464,0.007421312479032428,0.006028375782311131,0.021391213852209236
2013-04-03,0.004687576454469861,-0.006827399095332587,2.3802412136841866e-06,-0.006829779336546271,0.004685196213256177,0.006521872561482429,0.027913086413691664
2013-04-04,-0.009487259409335343,-0.002384977884602568,2.77680986426887e-06,-0.002387754694466837,-0.009490036219199612,-0.00884791700032143,0.019065169413370234
2013-04-05,-0.0003048480676565916,-0.00217970446657878,1.98363308512306e-06,-0.002181688099663903,-0.0003068317007417147,0.0002798717247141484,0.01934504113808438
2013-04-08,1.967361473155686e-05,0.00521458991006396,1.98363308512306e-06,0.005212606276978837,1.76899816464338e-05,-0.0013840933249258266,0.017960947813158556
2013-04-09,0.0013967991658552106,0.004556607080266284,2.3802412136841866e-06,0.0045542268390526,0.0013944189246415265,0.00016968818188007662,0.018130635995038634
2013-04-10,0.00387021993457941,0.013538049137517438,2.77680986426887e-06,0.01353527232765317,0.003867443124715141,0.0002275137322710805,0.018358149727309713
2013-04-11,0.016008297699541145,0.007160578517793725,2.3802412136841866e-06,0.007158198276580041,0.01600591745832746,0.0140809221074298,0.032439071834739514
2013-04-12,-0.002513651729218993,-0.004306842095864072,1.98363308512306e-06,-0.004308825728949195,-0.002515635362304116,-0.0013568983204435966,0.031082173514295916
2013-04-15,-0.002877225504962714,-0.017439083016864032,1.5869854708139286e-06,-0.017440670002334846,-0.002878812490433528,0.0018113633574301162,0.03289353687172603
2013-04-16,-0.014079051842670992,0.00538052782722942,2.3802412136841866e-06,0.005378147586015736,-0.014081432083884677,-0.015527733052299323,0.01736580381942671
2013-04-17,0.004390100176782445,-0.012579995164020308,1.98363308512306e-06,-0.012581978797105431,0.004388116543697322,0.007771684552530482,0.025137488371957194
2013-04-18,-0.006864384405526692,-0.004927148758065325,1.1902983632072761e-06,-0.004928339056428532,-0.0068655747038899,-0.00554023704143486,0.019597251330522335
2013-04-19,0.00045291192832175824,0.006083396727234014,1.5869854708139286e-06,0.0060818097417632,0.0004513249428509443,-0.0011842060980036143,0.01841304523251872
2013-04-22,0.007154737183966411,0.003374763828326799,1.5869854708139286e-06,0.003373176842855985,0.007153150198495597,0.006246029511227385,0.024659074743746102
2013-04-23,0.005589321659598577,0.011772159705368379,1.5869854708139286e-06,0.011770572719897565,0.005587734674127763,0.002422371423805636,0.02708144616755174
2013-04-24,0.008609464580701541,0.004778741116001184,1.98363308512306e-06,0.004776757482916061,0.008607480947616418,0.007322906870217124,0.03440435303776886
2013-04-25,0.0024182049404601453,0.005858836306812831,1.5869854708139286e-06,0.005857249321342017,0.0024166179549893313,0.0008414760998773237,0.035245829137646185
2013-04-26,-0.0010860476515421214,-0.001027890049893787,1.5869854708139286e-06,-0.001029477035364601,-0.0010876346370129353,-0.0008107858504381696,0.03443504328720801
2013-04-29,0.004570208016625881,0.007271213630743345,1.1902983632072761e-06,0.007270023332380138,0.004569017718262674,0.0026139501754234534,0.03704899346263146
2013-04-30,0.0037257324560143225,0.0052437694387450495,1.1902983632072761e-06,0.005242579140381842,0.003724542157651115,0.00231469849559909,0.03936369195823056
2013-05-02,0.003874119735109573,0.0021820328481929607,7.935717540874521e-07,0.0021812392764388733,0.0038733261633554857,0.0032867434362357367,0.04265043539446629
2013-05-03,0.004743165659100335,0.008709293905819981,7.935717540874521e-07,0.008708500334065894,0.004742372087346247,0.0024004667630393058,0.045050902157505596
2013-05-07,0.004796458000246053,0.006883022473738176,3.968056356828953e-07,0.006882625668102493,0.00479606119461037,0.002945173317361437,0.047996075474867034
2013-05-08,0.0010545146408058343,0.007774261628402224,3.968056356828953e-07,0.007773864822766541,0.0010541178351701514,-0.00103644365308777,0.046959631821779264
2013-05-10,0.0013637817196817178,6.692362072469038e-05,7.935717540874521e-07,6.613004897060293e-05,0.0013629881479276303,0.0013452043381050466,0.04830483615988431
2013-05-13,0.004470868907736762,0.001069645362821614,7.935717540874521e-07,0.0010688517910675266,0.004470075335982674,0.004182637820409041,0.05248747398029335
2013-05-14,0.0005049418849293408,0.005743271968559505,3.968056356828953e-07,0.005742875162923822,0.0005045450792936579,-0.0010398390746886948,0.05144763490560466
2013-05-15,0.008579679804106583,0.003253668269629806,3.968056356828953e-07,0.003253271463994123,0.0085792829984709,0.0077044074779245835,0.059152042383529245
2013-05-16,0.0044479451420099195,-0.0019194019241525195,0.0,-0.0019194019241525195,0.0044479451420099195,0.004964114104887949,0.06411615648841719
2013-05-17,-0.007574150099174199,0.003315649867374093,3.968056356828953e-07,0.00331525306173841,-0.007574546904809882,-0.00846609062633204,0.05565006586208515
2013-05-21,0.001812705672374269,0.001448861391268652,1.5869854708139286e-06,0.0014472744057978382,0.0018111186869034551,0.0014219150919500792,0.057071980954035234
2013-05-22,0.00011134927483791777,-0.005063758579180511,1.5869854708139286e-06,-0.005065345564651325,0.00010976228936710384,0.001471943984521613,0.05854392493855685
2013-05-23,-0.006355480093894121,-0.012889153073781134,1.1902983632072761e-06,-0.012890343372144342,-0.006356670392257328,-0.0028901764360843795,0.05565374850247247
2013-05-24,-0.00042952117726151654,-0.0004687781108495548,1.1902983632072761e-06,-0.00046996840921276206,-0.0004307114756247238,-0.00030432673915224283,0.05534942176332023
2013-05-28,0.006109294722092513,0.0029476951550833075,7.935717540874521e-07,0.00294690158332922,0.006108501150338425,0.005316015160390132,0.06066543692371036
